State,一般贸易,加工贸易,海关特殊监管区域,边境小贸易,其他贸易方式
15出口,74.0,14.7,3.3,0.7,7.3
16出口,71.0,14.9,2.7,0.7,10.8
15进口,62.0,22.9,14.7,0.4,0.0
16进口,63.9,22.2,13.4,0.5,0.0
