State,一般贸易,加工贸易,海关特殊监管区域,边境小贸易,其他贸易方式
15出口,59.2,22.8,6.6,6.5,5.0
16出口,59.3,23.1,5.5,5.1,7.0
15进口,45.1,27.2,23.0,1.0,3.7
16进口,46.1,24.2,22.9,1.0,5.8
