State,一般贸易,加工贸易,海关特殊监管区域,边境小贸易,其他贸易方式
15出口,36.8,4.9,0.9,47.0,10.4
16出口,36.6,3.6,0.7,52.3,6.8
15进口,87.9,5.0,5.7,1.3,0.1
16进口,88.6,5.4,4.1,1.8,0.1
